,순위,부제목,제목,상세보기링크,이벤트 정보,가격,추가정보,저자,출판사,출판연도
56,57,손수호 변호사의 ‘진짜’ 변호사 이야기,사람이 싫다,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791188073801,"['무료배송', '이벤트', '오늘의책', '소득공제']","도서14,400원[10%↓ +5% 적립]","지금 주문하면내일(22일,금)도착 예정입니다",손수호,브레인스토어,2021년10월08일
57,58,영국 산업 혁명 편: 멋진 신세계,설민석의 세계사 대모험.10,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791191496055,"['무료배송', 'MD의 선택', '소득공제']","도서10,800원[10%↓ +5% 적립]","지금 주문하면내일(22일,금)도착 예정입니다",설민석김정욱,단꿈아이,2021년09월30일
58,59,성공률 100% 투자자의 기발한 파이프라인,나는 주식 대신 달러를 산다,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9788925588636,"['무료배송', '이벤트', 'MD의 선택', '소득공제']","도서14,400원[10%↓ +5% 적립]|eBook11,200원","지금 주문하면내일(22일,금)도착 예정입니다",박성현,알에이치코리아,2021년05월30일
59,60,익숙한 내 삶의 패턴을 바꾸는 마음 성장 수업,모든 관계는 나에게 달려 있다,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791158741280,"['무료배송', 'sam', '소득공제']","도서14,220원[10%↓ +5% 적립]|eBook11,060원","지금 주문하면내일(22일,금)도착 예정입니다",황시투안,미디어숲,2021년10월10일
60,61,기분 따라 행동하다 손해 보는당신을 위한 심리 수업,기분이 태도가 되지 않게,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9788901243658,"['무료배송', '이벤트', 'sam', '소득공제']","도서12,600원[10%↓ +5% 적립]|eBook8,820원","지금 주문하면내일(22일,금)도착 예정입니다",레몬심리,갤리온,2020년06월30일
61,62,코로나가 가속화시킨 공간 변화,공간의 미래,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9788932474427,"['무료배송', '이벤트', '오늘의책', 'sam', '소득공제']","도서14,400원[10%↓ +5% 적립]|eBook11,200원","지금 주문하면내일(22일,금)도착 예정입니다",유현준,을유문화사,2021년04월25일
62,63,아이의 정서와 인지 발달을 키우는 결정적 시기,4~7세보다 중요한 시기는 없습니다,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791190776820,"['무료배송', '이벤트', '오늘의책', 'sam', '소득공제']","도서14,400원[10%↓ +5% 적립]|eBook11,200원","지금 주문하면내일(22일,금)도착 예정입니다",이임숙,카시오페아,2021년08월02일
63,64,,오늘은 이만 좀 쉴게요(10만 부 기념 스페셜 에디션),http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791191043181,"['무료배송', '이벤트', 'sam', '소득공제']","도서12,600원[10%↓ +5% 적립]|eBook9,800원","지금 주문하면내일(22일,금)도착 예정입니다",손힘찬(오가타마리토),스튜디오오드리,2021년03월10일
64,65,,흔한남매 과학 탐험대. 2: 지구와 달(양장본 HardCover),http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9788934980254,"['무료배송', '이벤트', 'MD의 선택', '소득공제']","도서11,520원[10%↓ +5% 적립]","지금 주문하면내일(22일,금)도착 예정입니다",흔한남매(원작)이재국이현진,주니어김영사,2021년08월27일
65,66,넘겨짚지 않고 현실을 직시하는 71가지 통찰,숫자는 어떻게 진실을 말하는가(양장본 HardCover),http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9788934944218,"['무료배송', '이벤트', '오늘의책', '소득공제']","도서17,010원[10%↓ +5% 적립]|eBook13,250원","지금 주문하면내일(22일,금)도착 예정입니다",바츨라프스밀,김영사,2021년09월16일
